"여자 광고모델 브랜드평판...1위 설현, 2위 김소현, 3위
아이유
",http://www.gukjenews.com/news/articleView.html?idxno=789780,http://www.gukjenews.com/news/articleView.html?idxno=789780,"2017년 9월 여자 광고모델 브랜드평판 조사결과, 1위 설현 2위 김소현 3위
아이유
으로 분석되었다.... 2017년 9월 여자 광고모델 브랜드평판 30위 순위는 설현, 김소현,
아이유
, 서현진, 김희선, 아이린, 백진희, 전지현...
","Sat, 23 Sep 2017 10:31:00 +0900",,,
"가수
아이유
…리메이크곡으로 음원차트 정상 휩쓸어!
",http://kookbang.dema.mil.kr/kookbangWeb/view.do?parent_no=1&bbs_id=BBSMSTR_000000000124&ntt_writ_date=20170923,http://kookbang.dema.mil.kr/kookbangWeb/view.do?parent_no=1&bbs_id=BBSMSTR_000000000124&ntt_writ_date=20170923,"가수
아이유
의 리메이크 앨범 ‘꽃갈피 둘’이 음원차트 정상을 휩쓸었다.
아이유
는 지난 22일 두 번째 리메이크 앨범 ‘꽃갈피 둘’을 발표했다. 발표 이후 리메이크 앨범 타이틀곡 ‘잠 못 드는 밤 비는 내리고’는...
","Sat, 23 Sep 2017 10:20:00 +0900",,,
"[fn★성적표] “1위냐 2위냐”...
아이유
, 라이벌은 나 자신
",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=014&aid=0003879067,http://www.fnnews.com/news/201709231013212125,"가수
아이유
가 차트 상위권을 점령했다. 23일 주요 6개 온라인 음악 사이트(멜론 지니 벅스 엠넷 네이버 소리바다)의 실시간 음원차트(이하 동일, 오전 9시30분 기준)에 따르면
아이유
의 ‘잠 못드는 밤 비는 내리고’는...
","Sat, 23 Sep 2017 10:14:00 +0900","이미지 원본보기
가수 아이유가 차트 상위권을 점령했다.
23일 주요 6개 온라인 음악 사이트(멜론 지니 벅스 엠넷 네이버 소리바다)의 실시간 음원차트(이하 동일, 오전 9시30분 기준)에 따르면 아이유의 ‘잠 못드는 밤 비는 내리고’는 지니 벅스 소리바다 1위, 멜론 엠넷 네이버에서 2위를 차지하고 있다. 앞서 선공개된 ‘가을 아침’은 벅스 3위, 지니 소리바다 4위를 제외하고 모두 1위다.
아이유는 지난 22일 리메이크 앨범 ‘꽃갈피 둘’을 발매하기 전, 지난 18일 자신의 데뷔일에 맞춰 ‘가을 아침’을 공개하며 팬들에게 깜짝 선물을 안겼다.
‘가을 아침’이 수록된 ‘꽃갈피 둘’은 2014년 첫 선을 보인 ‘꽃갈피’의 연장선에 놓인 3년만의 신작이다. 추억과 향수를 자극하는 '꽃갈피' 같은 이전 세대 음악들을 진한 아날로그 감성과 아이유 특유의 서정성을 담아 새롭게 재해석했다.
정재일, 고태영, 홍소진, 강이채, 적재, 임현제(혁오), 김성모, 정성하 등 폭넓은 세대와 장르의 뮤지션들이 대거 참여해 원곡 고유의 정서에 아이유만의 개성을 보다 섬세하게 덧입혔다.
한편 이 외에도 차트에는 우원재 ‘시차’, 윤종신 ‘좋니’, 선미 ‘가시나’, 워너원 ‘에너제틱’, 엑소 ‘파워’ ‘코코밥’, 헤이즈 ‘비도 오고 그래서’, 아이유 ‘밤편지’ 등이 자리하고 있다.
/lshsh324_star@fnnews.com 이소희 기자 사진=로엔 제공
▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타
※ 저작권자 ⓒ
파이낸셜뉴스
. 무단 전재-재배포 금지
","개여울 진짜 소름...
",개 여울 진짜 소름
"“효리네 민박 가니
아이유
신곡 온다” 차트 올킬한
아이유
신곡
",http://www.wikitree.co.kr/main/news_view.php?id=314635,http://www.wikitree.co.kr/main/news_view.php?id=314635,"[WIKITREE 박송이 기자] 로엔엔터테인먼트 가수
아이유
(이지은)가 발표한 신곡 앨범이 인기를 끌고 있다. 지난 22일 오후 6시
아이유
가 두 번째 리메이크 앨범 '꽃갈피 둘' 전곡 음원을 발표했다. 앨범 수록곡인...
","Sat, 23 Sep 2017 10:14:00 +0900",,,
"설현, 女 광고모델 브랜드평판 1위.. 김소현
아이유
뒤이어
",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=052&aid=0001062136,http://www.ytn.co.kr/_sn/0117_201709231013517411,"2위는 김소현 3위는
아이유
가 이름을 올렸다. 한국기업평판연구소가 지난달 21일부터 지난 22일까지의... 3위
아이유
의 브랜드는 참여지수 491,867 소통지수 186,316 커뮤니티지수 937,646가 되면서 브랜드평판지수...
","Sat, 23 Sep 2017 10:13:00 +0900","가수 겸 배우 설현이 9월 여자 광고모델 브랜드평판 조사 결과 1위를 차지했다. 2위는 김소현 3위는 아이유가 이름을 올렸다.
한국기업평판연구소가 지난달 21일부터 지난 22일까지의 여자 광고모델 50명의 브랜드 빅데이터 22,628,790개를 분석해 소비자들의 브랜드 참여와 소통, 확산량을 측정했다.
브랜드 평판지수는 브랜드 빅데이터를 추출하고 소비자 행동분석을 통해 참여가치, 소통가치, 미디어가치, 소셜가치로 분류하고 가중치를 두어 나온 지표다.
1위를 차지한 설현의 브랜드는 참여지수 621,492 소통지수 159,700 커뮤니지수 1,291,872로 브랜드평판지수 2,073,063로 분석됐다. 지난 7월 브랜드평판지수 473,592에서 337.73% 급등했다.
2위인 김소현의 브랜드는 참여지수 129,376 소통지수 37,678 커뮤니티지수 1,769,568로 브랜드평판지수 1,936,622를 기록했다.
3위 아이유의 브랜드는 참여지수 491,867 소통지수 186,316 커뮤니티지수 937,646가 되면서 브랜드평판지수 1,615,828로 나타났다.
한국기업평판연구소 구창환 소장은 ""설현이 예능과 영화를 통해 소비자들의 관심을 이끌어내면서 출현한 광고까지 인지도를 높인 것으로 나타났다. 전문가들의 평가에서도 여자광고모델 1위를 기록했다""고 밝혔다.
이어 ""설현 브랜드에 대한 키워드 분석에서 '웃다' '예쁘다' '좋다'가 높게 나왔고, 링크 분석에서는 '살인자의 기억법' '백치미' '클라우드'가 높게 나왔다. 브랜드에 대한 긍부정비율 분석에서는 긍정비율 53.91%가 나왔다""고 설명했다.
YTN
Star
조현주 기자 (
jhjdhe
@
ytnplus
.
co
.
kr
)
[사진출처 = 뉴시스]
▶뉴스 덕후들의 YTN페이스북
▶YTN과 친구가 되어주세요
[저작권자(c)
YTN
(
Yes
!
Top
News
) 무단전재 및 재배포 금지]
","기획사와 아이돌들이 이글을 좋아라합니다 역사공부 안해도 돈버는데 전혀 지장이 없는걸 깨닫게 됩니다 지식+1
",기획사 아이돌 이글 역사 공부 안해 돈버는데 전혀 지장 지식
"[예능톡] ‘효리네 민박’이 우리에게 남긴 것들
",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=011&aid=0003118527,http://www.sedaily.com/NewsView/1OL514JL2O,"아이유
에게 한발 뒤에 서는 법을 자연스럽게 연습할 수 있게 해줘서 고맙다며 인사까지 했다. 이효리가...
아이유
의 면면을 알게 된 것도 큰 수확이다. 가수
아이유
가 아닌 효리네 민박 근처에 숙소를 잡고 출퇴근 하는...
","Sat, 23 Sep 2017 09:44:00 +0900","[서울경제] 무더운 여름, 땀을 식혀 주는 바닷바람처럼 찾아왔던 ‘효리네 민박’이 가을에 접어듦에 따라 영업을 종료한다. 때가 되면 계절이 바뀌듯 하나의 프로그램이 종영하는 것도 순리겠지만 유독 아쉬운 이유가 있다. 지난 3개월간 ‘효리네 민박’이 남긴 것이 너무나도 많기 때문이다.
JTBC 예능프로그램 ‘효리네 민박’은 제주도 소길리에 위치한 이효리와 이상순의 실제 자택에서 촬영이 이뤄졌다. 이효리와 이상순이 지난 2013년 결혼한 후 꾸준히 삶을 이어나간 공간인 만큼 집에는 부부의 손길 하나하나가 녹아있었다. 이를 통해 시청자들은 톱스타 이효리가 아닌 인간 이효리의 일상과 고민을 엿볼 수 있었다.
이미지 원본보기
/사진=JTBC
약 10여 년 전, 마찬가지로 집을 공개했던 ‘오프 더 레코드, 효리’ 때와는 또 다른 모습이었다. 그동안 이효리는 많은 것을 깨달았고 내려놨다. 톱스타의 옷을 벗고 민박집 주인이 됐다. 일반인 손님들을 위해 식사 준비부터 설거지, 청소 등 집안일을 능숙하게 했다. 멀게 느껴졌던 이효리와의 심적 간극이 좁아졌다.
어린 나이에 사회생활을 시작해 정상까지 오른 이효리에게서는 배울 점도 많았다. 제주도의 자연환경과 요가로 얻은 심적 안정은 그를 더욱 성숙하게 만들었다. 이효리는 “행복해야 한다는 생각을 버리면 행복하다”, “나 자신을 좋은 사람으로 바꾸려고 하니 좋은 사람이 왔다”며 인생 선배로서 손님들과 시청자들을 모두 위로했다.
그런가하면 반대로 자신의 고민을 털어놓기도 했다. 본인의 약한 부분을 솔직하게 꺼내놓는 것은 누군가에게 조언을 주는 것보다 더욱 용기가 필요한 일이다. 하지만 이효리는 톱스타였던 자신이 천천히 내려오는 과정을 직면하고 어려움을 인정했다. 아이유에게 한발 뒤에 서는 법을 자연스럽게 연습할 수 있게 해줘서 고맙다며 인사까지 했다.
이효리가 이만큼 성숙한 태도를 가질 수 있는 데에는 남편 이상순의 몫이 크지 않았을까. 이들은 친구 같기도 하고 연인 같기도 한 이상적인 부부의 모습을 보여줬다. ‘효리네 민박’이 결혼 장려 예능으로 불리기도 하는 이유이기도 하다. ‘우리 결혼했어요’처럼 억지로 꾸며진 관계에서는 볼 수 없는 편안함이었다.
그럴 수 있던 것에는 서로에 대한 애정도 많은 부분을 차지했겠지만 두 사람이 서로를 존중한다는 점이 상당한 영향을 미쳤다. 한 집에 살고 생활을 공유하는 사람으로서 상대방의 불편함을 배려하고 각자의 시간을 방해하지 않았다. 함께 집안일을 하고 끊임없이 대화하면서도 혼자 요가를 하고 차를 마시는 시간이 존재했다.
물론 이상순이 기본적으로 배려가 넘치는 남자라는 것도 한 몫 했다. 그는 수도 문제로 수압을 낮춰 물을 사용해야 하는 상황에서도 자신이 처리할 테니 편히 나갔다 오라고 배웅해 주는 남편이었다. 이효리에게 “너랑 노는 게 제일 재밌다”며 넘치는 애정을 매 순간 솔직하게 표현했다. 덕분에 시청자들은 이상적인 친구, 연인, 부부의 모습을 모두 지켜봤다.
아이유의 면면을 알게 된 것도 큰 수확이다. 가수 아이유가 아닌 효리네 민박 근처에 숙소를 잡고 출퇴근 하는 직원 이지은은 신선하고 독특했다. 최초로 리얼리티 예능프로그램에 고정출연한 만큼 카메라에서 다 보여주지 못했던 그의 평소 모습이 공개됐다. 자주 멍 때리고 책을 좋아하고 초콜릿을 한 조각씩 먹는 습관들 모두.
아이유와 이효리는 다른 듯 비슷했다. 조용한 아이유와 자신의 기분을 잘 표현하는 이효리는 얼핏 보면 극과 극인 듯 했다. 그러나 둘 사이에는 커다란 공통점이 있었다. 어린 나이에 스타가 된 솔로 가수. 각자가 가지는 불안감과 공허함을 털어 놓으며 서로를 토닥였다. 당연하게도 그 모습을 보는 시청자들의 마음까지 어루만졌다.
‘효리네 민박’을 다녀갔던 이들 또한 기억 속에 남을 것이다. 왁자지껄한 웃음을 몰고 왔던 20대 죽마고우들부터 순수하고 우애 넘치던 삼남매와 새로운 제주를 알게 해준 과학탐험대까지. 제주도를 즐기는 저마다 다른 방법도 포인트 중 하나였다. 민박집에서 이효리들과 함께 하는 시간 외에도 각자의 제주 여행을 야무지게 챙겼다.
일반적인 민박집 주인은 손님을 고를 수 없다. 이효리 부부도 마찬가지였다. 그저 민박집 주인으로서 찾아오는 모든 손님을 받아들였다. 자율성 또한 완벽하게 보장됐다. 손님들에게 무슨 음식을 내주고 무엇을 할 것인지는 전적으로 주인들의 판단이었다. 제작진의 개입이 전혀 없는 상황에서 부부는 손님들을 진정성 있게 대할 수 있었다.
끝이라고 생각하니 많은 것이 아쉽다. 곳곳을 다니며 사람보다 더 큰 존재감을 보여주고 공생하는 법을 알게 해준 강아지와 고양이도 보고 싶을 거다. 시즌2 생각이 간절하지만 그렇다고 마냥 바랄 수도 없다. 개인의 생활을 보여준다는 것은 즐거우면서도 부담이 따르는 일이기 때문이다. 언젠가 부부가 다시 손님을 맞이할 마음이 생기기를 그저 조용히 기대해본다.
/서경스타 양지연기자 sestar@sedaily.com
[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB
[바로가기]
서울경제의 모든 연재물!... 서경Cube
[바로가기▶]
저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지
",,
"설현, 여자 광고 모델 브랜드 평판 1위…2위 김소현·3위
아이유
",http://tvdaily.asiae.co.kr/read.php3?aid=15061266921280209002,http://tvdaily.asiae.co.kr/read.php3?aid=15061266921280209002,"2017년 9월 여자 광고모델 브랜드평판 30위 순위는 설현 김소현
아이유
서현진 김희선 아이린 백진희... 3위인
아이유
브랜드는 참여지수 49만 1867, 소통지수 18만 6316, 커뮤니티지수 93만 7646가 되면서 브랜드...
","Sat, 23 Sep 2017 09:36:00 +0900",,,
"[Oh!쎈 초점] 폐업 전야 '효리네 민박', 효리♥상순x지은이 남긴 것
",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=109&aid=0003624650,http://www.osen.co.kr/article/G1110737633,"또 민박집 운영에 함께했던 직원
아이유
와의 굿바이 인사도 공개된다. '효리네 민박'은 방송 내내 뜨거운... 직원
아이유
까지 세 사람의 '케미'가 좋았고, 민박객들마저도 화제가 될 정도로 이슈가 뜨거웠다. 일요일 밤...
","Sat, 23 Sep 2017 09:31:00 +0900","이미지 원본보기
[OSEN=선미경 기자] '효리네 민박'이 폐업한다. 자극을 뺀 잔잔한 힐링으로 유독 사랑받았던 만큼 아쉬운 종영이다.
종합편성채널 JTBC 예능프로그램 '효리네 민박'이 오는 24일 방송을 끝으로 종영한다. 이날 방송에서는 마지막 손님 배웅과 함께 민박집 폐업을 선언하는 효리 부부의 모습이 그려질 예정. 또 민박집 운영에 함께했던 직원 아이유와의 굿바이 인사도 공개된다.
'효리네 민박'은 방송 내내 뜨거운 인기를 끌었던 만큼 종영이 아쉬운 프로그램이다. 이효리가 오랜만에 출연하는 예능이었고, 또 이상순과 함께 부부의 모습을 보여주면서 사랑받았다. 직원 아이유까지 세 사람의 '케미'가 좋았고, 민박객들마저도 화제가 될 정도로 이슈가 뜨거웠다. 일요일 밤 잔잔하고 따뜻한 힐링을 월요일을 준비하던 시청자들의 아쉬움은 당연하다.
'효리네 민박'은 그동안 공개되지 않았던 이효리 이상순 부부의 제주도 결혼생활을 공개한다는 점에서 호기심을 자극했다. 소박하고 평화롭게 살아가는 두 사람의 모습이 가감없이 공개되면서 궁금증을 풀어줄 수 있었다.
무엇보다 사랑꾼 부부의 탄생이 고스란히 그려졌는데, 이효리와 이상순이 서로를 어떻게 아끼고 대하는지 애정 가득한 모습은 늘 화제가 됐다. 자연스럽게 이상순에 대한 호감과 인지도도 높아졌다. 이상순은 자상한 사랑꾼 남편의 면모를 보여주면서 이효리, 그리고 아이유와 민박객들까지도 사로잡았다. 좋은 시너지였다.
직원으로 출연한 아이유 역시 무대 위에서와는 다른 수수하고 평범한 모습으로 사랑받았다. 아이유는 묵묵히 민박집 직원으로 일을 해내면서 가수 선배인 이효리와 교감을 나눴다. 성향은 다르지만 비슷한 점이 많은 두 사람은 서로를 이해했고 금방 친해졌다. 이효리와 아이유의 이야기를 보는 재미 또한 '효리네 민박'의 관전포인트였다. 두 사람의 대화를 통해 힐링받는다는 시청자들도 많았다.
그리고 특히 '효리네 민박'이 주는 잔잔하고 따뜻한 힐링이 시청자들을 위로할 수 있었다. '효리네 민박'은 꾸밈없이 자연스럽고, 자극 없이 재미있는 따뜻한 예능이었다. '효리네 민박'을 찾는 민박객 모두가 이들과 잘 어울리고 좋은 '케미'를 완성한 것도 그래서다. 예능적인 요소를 첨가하거나 자극적인 상황을 꾸미지 않았다.
처음부터 자연스럽게 흘러갔다. 이효리와 이상순의 이야기, 아이유와 민박객의 사연이 '효리네 민박'에 자연스럽게 녹아들었다. 어떤 첨가물도 넣지 않은 관찰 예능 그 자체였다. 이야기는 주인공인 이효리 부부, 아이유, 민박객들이 자연스럽게 만들어갔다. 그리고 이 과정을 지켜보는 것은 시청자들에게 신선한 재미로 다가왔다. '효리네 민박'이 준 가장 따뜻하고 의미 있는 힐링이었다. /seon@osen.co.kr
[사진]JTBC 제공
",,
"'
아이유
천하'…음원차트 '꽃갈피 둘'로 물들였다
",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=111&aid=0000498219,http://joynews.inews24.com/php/news_view.php?g_menu=700300&g_serial=1050222&rrf=nv,"아이유
가 신보 '꽃갈피 둘'로 음원 차트를 휩쓸었다. 바야흐로 '
아이유
천하'다.
아이유
는 지난 22일 오후 6시 두 번째 리메이크 앨범 '꽃갈피 둘'을 발표했다. 발매와 동시에 신곡들은 음원차트 1위와 줄세우기를 하며...
","Sat, 23 Sep 2017 09:27:00 +0900","<조이뉴스24>
[조이뉴스24 이미영기자] 이변은 없었다. 아이유가 신보 '꽃갈피 둘'로 음원 차트를 휩쓸었다. 바야흐로 '아이유 천하'다.
아이유는 지난 22일 오후 6시 두 번째 리메이크 앨범 '꽃갈피 둘'을 발표했다. 발매와 동시에 신곡들은 음원차트 1위와 줄세우기를 하며 '음원퀸'의 저력을 과시했다.
23일 오전 9시 현재 '꽃갈피 둘'의 타이틀곡 '잠 못 드는 밤 비는 내리고'와 선공개된 '가을아침'이 치열한 1위 다툼을 벌이고 있다. '가을아침'은 멜론과 엠넷, 네이버뮤직, 올레뮤직 등 4개 음원사이트 실시간차트에서 1위를, '잠 못 드는 밤 비는 내리고'는 지니와 벅스, 소리바다, 몽키3에서 1위를 달리고 있다. 그야말로 아이유 대 아이유의 대결인 셈이다.
이미지 원본보기
이외에 '비밀의 화원', '매일 그대와', '어젯밤 이야기', '개여울' 등 수록곡 전곡이 상위권에 랭크되며 '줄세우기'에 성공했다.
아이유는 지난 18일 '가을아침'을 깜짝 선공개, 5일째 음원차트 1위를 굳건히 지키며 '음원퀸'을 증명한 데 이어 23일 신곡들로 또다시 음원차트를 다시 물들였다. 특히 아이유는 방탄소년단과 엑소 등 막강한 팬덤을 자랑하는 보이그룹의 신곡, 롱런 중인 윤종신의 '좋니'와 우원재의 '시차' 등을 제치고 여성 솔로 보컬리스트로서 존재감을 발산했다.
아이유 리메이크 음반 '꽃갈피 둘'은 지난 2014년 첫 선을 보인 직후 가요계 '리메이크 열풍'을 선두했던 '꽃갈피' 음반의 연장선에 놓인 3년만의 신작이다. 추억과 향수를 자극하는 이전 세대 음악들을 진한 아날로그 감성과 아이유 특유의 서정성을 담아 새롭게 재해석했다. 여기에 정재일, 고태영, 홍소진, 강이채, 적재, 임현제(혁오), 김성모, 정성하 등 폭넓은 세대와 장르의 뮤지션들이 대거 참여, 원곡 고유의 정서 위에 아이유의 색채를 덧입혔다.
/이미영기자
mycuzmy@joynews24.com
▶프리미엄 뉴스서비스 아이뉴스24
▶연예스포츠 조이뉴스24
,
생생한 라이브캐스트
[ⓒ 아이뉴스24 무단전재 및 재배포 금지]
","리메이크를 싫어하는 김동률조차 말했죠. 아직 어린 나이에 이렇게 부를줄 알다니. 이곡들의 정서를 정녕 다 이해했단 말인가. 기특하면서도 안쓰럽다.라고...ㄷㄷㄷ

기사 제목 좀 다시 써라 꼴깔피가 뭐냐 진짜 좀 쓰고 오타확인안하냐

아이유 목소리는 가을 감성에 너무도 어울리고 녹아내린다

꼴깔피 ㅋㅋㅋㅋㅋㅋ 어휴 기자하기쉽네

꼴갑이라고 쓰고 싶었던거냐?

가을 감성에 히트곡 리메이크.음원 수익 작정하고 음원 낸 거라면다른 가수들 맥빠질듯..

요즘 아이유노래 공기 너무 들어가..
",리메이크 김동률 아직 나이 알다 이곡 정서 정녕 말 기특 서도 안쓰럽 기사 제목 좀 다시 꼴 피 뭐 진짜 좀 오타 확인 아이유 목소리 가을 감성 너무 린다 꼴 피 어 기자 꼴갑 가을 감성 히트 곡 리메이크 음원 수익 작정 음원 거 라면 다른 가수 맥 요즘 아이유 노래 공기 너무
"리메이크도 통하는
아이유
…김건모·양희은 곡으로 정상
",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=001&aid=0009566728,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170923023300005&did=1195m,"가수
아이유
(본명 이지은·24)의 리메이크 앨범 '꽃갈피 둘'이 음원차트 정상을 휩쓸었다. 지난 22일 오후 6시... 양분하며
아이유
와
아이유
가 맞붙는 이색 풍경을 연출했다. 또 이 앨범의 수록곡 6곡은 차트 10위권에...
","Sat, 23 Sep 2017 09:26:00 +0900","'꽃갈피 둘' 수록곡 '잠 못 드는 밤…'과 '가을 아침' 차트 1위 양분
이미지 원본보기
'꽃갈피 둘' 재킷 [페이브엔터테인먼트 제공]
(서울=연합뉴스) 이은정 기자 = 가수 아이유(본명 이지은·24)의 리메이크 앨범 '꽃갈피 둘'이 음원차트 정상을 휩쓸었다.
지난 22일 오후 6시 공개된 이 앨범의 타이틀곡 '잠 못 드는 밤 비는 내리고'와 선공개곡 '가을 아침'은 각종 차트 1위를 양분하며 아이유와 아이유가 맞붙는 이색 풍경을 연출했다.
또 이 앨범의 수록곡 6곡은 차트 10위권에 나란히 줄을 서며 아이유의 독보적인 '음원 파워'를 입증했다.
이미지 원본보기
리메이크 앨범으로 차트 1위 휩쓴 아이유 [페이브엔터테인먼트 제공]
'꽃갈피 둘'은 지난 2014년 선보인 리메이크 앨범 '꽃갈피'의 연장선에 있는 앨범이다. 추억어린 꽃갈피 같은 이전 세대의 아날로그 음악을 아이유의 서정성을 더해 재해석했다.
이번에는 정재일, 고태영, 홍소진, 강이채, 적재, 혁오의 임현제, 김성모, 정성하 등 여러 세대와 장르의 뮤지션들이 편곡에 참여해 원곡의 정서에 아이유의 개성을 덧입혔다.
앨범에는 1991년 양희은의 노래인 '가을아침'과 1992년 김건모의 데뷔곡인 '잠 못 드는 밤 비는 내리고'를 비롯해 정미조의 '개여울', 이상은의 '비밀의 화원', 소방차의 '어젯밤 이야기', 들국화의 '매일 그대와'가 수록됐다.
아이유는 24일 서울 이화여자대학교 삼성홀에서 팬클럽 유애나와 함께 하는 데뷔 9주년 팬미팅을 열고 신곡 무대를 처음 선보인다.
mimi@yna.co.kr
기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)
최신 유행 트렌드 총집결(클릭!)
","아이유야 축하해..팬미팅에 가는 사람들 부럽...아이유
",아이유 팬미팅 사람 아이유
