구분,통,반,세대수,인구수,남,여,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19,110,3070,6811,3442,3369,-5,-20,2013-11-30
칠성동,35,225,7859,20534,10026,10508,-11,-22,2013-11-30
침산1동,18,87,2383,5580,2988,2592,-9,-50,2013-11-30
침산2동,22,139,5531,16718,8200,8518,-13,-43,2013-11-30
침산3동,30,204,7356,21975,10789,11186,165,469,2013-11-30
노원동,32,172,5319,11946,6347,5599,1,-27,2013-11-30
산격1동,27,159,5718,12242,6091,6151,-11,-51,2013-11-30
산격2동,21,142,4720,13366,6758,6608,-11,-11,2013-11-30
산격3동,24,127,4733,9816,4984,4832,-1,-15,2013-11-30
산격4동,21,126,4445,10275,5272,5003,7,-16,2013-11-30
대현동,33,202,7951,18112,9165,8947,2,-50,2013-11-30
복현1동,15,79,3706,7485,3922,3563,-13,-43,2013-11-30
복현2동,38,275,10063,28826,14333,14493,-1,-13,2013-11-30
검단동,16,95,3345,8727,4495,4232,-9,-31,2013-11-30
무태조야동,42,244,11715,31531,16076,15455,6,-31,2013-11-30
관문동,29,168,6250,18029,9111,8918,-5,-32,2013-11-30
태전1동,31,197,8974,23770,12035,11735,5,-16,2013-11-30
태전2동,35,230,9346,25980,12941,13039,33,63,2013-11-30
구암동,47,336,13709,42154,20988,21166,19,-37,2013-11-30
관음동,29,192,7997,21640,10832,10808,-14,-19,2013-11-30
읍내동,39,237,10619,29732,14834,14898,-43,-124,2013-11-30
동천동,33,249,10559,32711,15945,16766,-4,-34,2013-11-30
국우동,34,210,9575,26984,13506,13478,7,-2,2013-11-30
