구분, 통 , 반 , 세대수 , 계 , 남 , 여 ,전월대비세대증감,전월대비인구증감,데이터기준일자
고성동,19 ,109 ,2650 ,5499 ,2795 ,2704 ,-34 ,-91 ,2017-03-31
칠성동,36 ,240 ,8868 ,21794 ,10608 ,11186 ,16 ,3 ,2017-03-31
침산1동,18 ,87 ,2134 ,4777 ,2552 ,2225 ,-11 ,-34 ,2017-03-31
침산2동,22 ,141 ,5701 ,16855 ,8195 ,8660 ,-8 ,-25 ,2017-03-31
침산3동,30 ,204 ,7432 ,21612 ,10533 ,11079 ,16 ,29 ,2017-03-31
노원동,31 ,171 ,5046 ,10645 ,5659 ,4986 ,-2 ,9 ,2017-03-31
산격1동,27 ,159 ,5468 ,10960 ,5462 ,5498 ,-4 ,-49 ,2017-03-31
산격2동,21 ,142 ,4669 ,12263 ,6167 ,6096 ,-11 ,-21 ,2017-03-31
산격3동,24 ,127 ,4934 ,9112 ,4674 ,4438 ,32 ,20 ,2017-03-31
산격4동,21 ,126 ,4278 ,9365 ,4837 ,4528 ,1 ,-5 ,2017-03-31
대 현 동,32 ,198 ,8927 ,19813 ,9926 ,9887 ,31 ,38 ,2017-03-31
복현1동,15 ,79 ,4008 ,7243 ,3919 ,3324 ,23 ,14 ,2017-03-31
복현2동,37 ,272 ,11465 ,31543 ,15617 ,15926 ,-11 ,-41 ,2017-03-31
검단동,16 ,95 ,3245 ,7788 ,3961 ,3827 ,6 ,-8 ,2017-03-31
무태조야동,42 ,244 ,11458 ,29824 ,15221 ,14603 ,0 ,-26 ,2017-03-31
관문동,45 ,240 ,10979 ,28230 ,14088 ,14142 ,93 ,153 ,2017-03-31
태전1동,32 ,205 ,9484 ,23949 ,12115 ,11834 ,8 ,10 ,2017-03-31
태전2동,35 ,230 ,9369 ,24212 ,12012 ,12200 ,10 ,-29 ,2017-03-31
구암동,45 ,314 ,13468 ,39615 ,19659 ,19956 ,6 ,-44 ,2017-03-31
관음동,29 ,192 ,7610 ,19414 ,9666 ,9748 ,-9 ,-14 ,2017-03-31
읍내동,40 ,231 ,10561 ,27892 ,13928 ,13964 ,10 ,-71 ,2017-03-31
동천동,35 ,252 ,10459 ,31252 ,15252 ,16000 ,10 ,-18 ,2017-03-31
국우동,34 ,210 ,9640 ,26037 ,13035 ,13002 ,14 ,7 ,2017-03-31
